airbnb_listing_id,occ,rev_window,adr,nights,number_of_bedrooms,number_of_guests,listing_type,number_of_reviews,star_rating,is_professional,cleaning_fee,picture_count,min_nights,number_of_bathrooms,is_guest_favorite,can_instant_book,suburb,micro_zone,dist_beach_km,comp_300m,comp_1km,rev_annual_gross,occ_paid,bed_bucket,am_crib,am_workspace,am_pool,am_grill,am_gym,am_elevator,am_beach,am_seaview,am_spa,am_parking,am_dishwasher,tx_family,tx_couple,tx_group,tx_biz,tx_long,tx_luxury,tx_seafront,pets_ok,guests,bedrooms,beds,baths,beds_per_bed,guests_per_bed,cleaning_fee_c,price_wd,price_we,weekend_price_premium,occ_wd,occ_we,weekend_occ_lift,occ_high,occ_low,season_concentration,segment
34540951,0.7515419935617587,49949.28938629458,622.6802745693591,105,3,8,apartamento,67,4.869999885559082,False,400.0,111,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.0595472111251916,296,1518,100015.15706601922,0.6763877942055828,3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,8,3,5,3.0,1.6666666666666667,2.6666666666666665,400.0,558.0,553.5,-0.008064516129032251,1.0,1.0,0.0,0.8571428571428572,0.0,0.8571428571428572,Grupos e amigos
34866449,0.7891659313137894,42165.47456562308,501.9081129608012,105,3,8,apartamento,23,4.829999923706055,False,150.0,22,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1985831216750613,212,1112,84429.36052261778,0.7102493381824105,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3,4,2.0,1.3333333333333333,2.6666666666666665,150.0,400.0,400.0,0.0,0.9259259259259259,0.8333333333333334,-0.09259259259259256,0.8571428571428572,0.027027027027026973,0.8301158301158302,Grupos e amigos
35481220,0.3688728975905609,29237.82033736971,720.2274439236035,105,3,6,apartamento,17,4.940000057220459,False,300.0,19,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.0857283458893125,225,1138,58543.87978765623,0.3319856078315048,3,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,3,3,3.0,1.0,2.0,300.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.5405405405405406,-0.5048262548262549,Famílias
35826155,0.9772215540853784,73551.31569811646,715.8079916364404,105,2,6,apartamento,32,4.909999847412109,False,250.0,44,0,2.0,False,False,Meia Praia,Meia Praia (inland),0.8934218345540486,47,1619,147274.2952370798,0.8794993986768405,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,2,3,2.0,1.5,3.0,250.0,590.0,590.0,0.0,1.0,1.0,0.0,,0.45945945945945943,,Famílias
35912580,0.9294174893506102,38302.26545147166,390.75447894906665,105,3,8,apartamento,13,5.0,False,260.0,49,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.3045727268632079,383,1702,76693.92582318543,0.8364757404155492,3,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,8,3,3,2.0,1.0,2.6666666666666665,260.0,350.0,350.0,0.0,1.0,1.0,0.0,,0.10810810810810811,,Grupos e amigos
35934720,0.9888152928942624,44989.000640086415,433.01458771901576,105,2,4,apartamento,14,4.929999828338623,False,250.0,2,0,1.0,True,False,Canto da Praia,Canto da Praia,0.0610903472067382,18,347,90083.00259214714,0.8899337636048362,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,1.0,1.0,2.0,250.0,500.0,500.0,0.0,1.0,1.0,0.0,,,,Casais e escapadas curtas
36032020,0.9808054734475982,70926.71548987988,687.8960719978274,105,3,8,apartamento,19,4.840000152587891,True,300.0,20,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0495518008755642,124,857,142018.9691796421,0.8827249261028384,3,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,8,3,10,2.0,3.3333333333333335,2.6666666666666665,300.0,550.0,550.0,0.0,1.0,1.0,0.0,,0.5405405405405406,,Grupos e amigos
36632832,0.6658487444121034,40544.85399677863,566.9409035136691,105,3,8,apartamento,41,4.849999904632568,False,250.0,19,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1691013294283389,325,1716,81184.33696514803,0.5992638699708931,3,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,8,3,5,2.0,1.6666666666666667,2.6666666666666665,250.0,450.0,450.0,0.0,0.8148148148148149,0.6666666666666667,-0.14814814814814814,0.8214285714285714,0.21621621621621623,0.6052123552123552,Grupos e amigos
36698654,0.3547613655164838,72880.12290847934,1864.338007337194,105,4,12,apartamento,14,4.789999961853027,False,300.0,30,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.1649568678203835,293,1259,145930.34313882317,0.3192852289648354,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,12,4,4,4.0,1.0,3.0,300.0,1900.0,1900.0,0.0,0.8888888888888888,0.75,-0.13888888888888884,0.4285714285714286,0.3783783783783784,0.050193050193050204,Alto padrão e frente-mar
36908385,0.972384499412136,63378.22862732835,619.684099823792,105,3,7,apartamento,22,4.820000171661377,True,350.0,26,0,3.0,False,True,Meia Praia,Meia Praia (beach band),0.3202350203128817,305,1520,126904.37779216132,0.8751460494709224,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,7,3,4,3.0,1.3333333333333333,2.3333333333333335,350.0,455.0,455.0,0.0,1.0,1.0,0.0,,0.6216216216216216,,Famílias
