airbnb_listing_id,latitude,longitude,suburb,country,state,city,aquisition_date,dist_beach_km,comp_300m,comp_1km,micro_zone
16566726,-27.0983,-48.61561,Centro,Brasil,Santa Catarina,Itapema,2024-10-07 19:41:40.672,0.25147357739786075,175,743,Centro
51453135,-27.12209,-48.60704,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.18190696285860952,319,1349,Meia Praia (beach band)
51785337,-27.11956,-48.61128,Morretes,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.44801761728595835,169,964,Morretes
968676271316056907,-27.108999252319336,-48.6150016784668,Tabuleiro dos Oliveiras,Brasil,Santa Catarina,Itapema,2023-11-06 19:02:55.043,0.30040623897874175,53,431,Tabuleiro dos Oliveiras
1084684660471816372,-27.123569508428385,-48.61736045611764,Morretes,Brasil,Santa Catarina,Itapema,2025-04-21 19:03:10.720,1.1857279943602084,43,465,Morretes
1276175886462563504,-27.13704,-48.59735,Meia Praia,Brasil,Santa Catarina,Itapema,2024-11-04 19:01:17.742,0.40393130122491594,380,1712,Meia Praia (inland)
1268356543846662992,-27.1387233,-48.59682429999999,Meia Praia,Brasil,Santa Catarina,Itapema,2024-11-04 19:01:17.742,0.4773843494855599,312,1553,Meia Praia (inland)
1270377015190277716,-27.122712738746333,-48.6043672779431,Meia Praia,Brasil,Santa Catarina,Itapema,2024-11-04 19:01:17.311,0.030521133150666003,217,1420,Meia Praia (beach band)
1274055523929375490,-27.1276039,-48.6052271,Meia Praia,Brasil,Santa Catarina,Itapema,2024-11-04 19:01:17.479,0.3541461216422645,382,1736,Meia Praia (inland)
1274797415798183244,-27.12958049865842,-48.60393579647425,Meia Praia,Brasil,Santa Catarina,Itapema,2024-11-04 19:06:10.522,0.39198789507060866,416,1841,Meia Praia (inland)
1269744096051808853,-27.138803497595,-48.59462705134203,Meia Praia,Brasil,Santa Catarina,Itapema,2024-11-04 19:06:11.766,0.3097329652555819,386,1512,Meia Praia (beach band)
1279044816202788334,-27.09366735053049,-48.61232814201241,Centro,Brasil,Santa Catarina,Itapema,2024-11-04 19:06:12.254,0.1329216768349202,220,715,Centro
1268710208854055752,-27.13254440506064,-48.61732001769514,Morretes,Brasil,Santa Catarina,Itapema,2024-11-04 19:06:08.682,1.646790009580083,9,136,Morretes
1094307053007905987,-27.08799934387207,-48.61299896240234,Alto Sao Bento,Brasil,Santa Catarina,Itapema,2024-03-18 19:01:37.494,0.6067504194002761,88,500,Alto Sao Bento
1070343877574441166,-27.117000579833984,-48.61299896240234,Morretes,Brasil,Santa Catarina,Itapema,2024-03-18 19:01:39.290,0.5072198888013619,146,714,Morretes
1013616590713546479,-27.13502,-48.5949,Meia Praia,Brasil,Santa Catarina,Itapema,2024-09-25 17:35:35.399,0.07334471840578494,236,1674,Meia Praia (beach band)
1170581686192011483,-27.12276022232227,-48.60571436583996,Meia Praia,Brasil,Santa Catarina,Itapema,2024-12-19 17:34:49.048,0.08736708674960186,311,1431,Meia Praia (beach band)
1072539500992627353,-27.12071,-48.60684,Meia Praia,Brasil,Santa Catarina,Itapema,2024-12-19 17:34:44.792,0.10671419258332167,241,1187,Meia Praia (beach band)
1068879391520187607,-27.13572,-48.59637,Meia Praia,Brasil,Santa Catarina,Itapema,2024-12-19 17:34:44.792,0.23524883727253382,380,1743,Meia Praia (beach band)
